What's your name?,Email,I chose to participate in order to,Spend,Are you a morning or evening person?,What's your working style?,"How distracting is your work environment?
",How easily distracted are you?,Important,It does not take you much time to start getting involved in social activities at your new workplace/school.,"Generally speaking, you rely more on your experience than your imagination.",You have always been interested in unconventional and ambiguous things.,You usually find it difficult to relax when talking in front of many people.,You are a relatively reserved and quiet person.,You often spend time exploring unrealistic and impractical yet intriguing ideas.,Winning a debate matters less to you than making sure no one gets upset.,You enjoy vibrant social events with lots of people. ,Your mind is always buzzing with unexplored ideas and plans.,You often contemplate the reasons for human existence.,You feel more energetic after spending time with a group of people.,"If you had a business, you would find it very difficult to fire loyal but underperforming employees.",Logic is usually more important than heart when it comes to making important decisions. , Keeping your options open is more important than having a to-do list.,Being organized is more important to you than being adaptable.,It is often difficult for you to relate to other people’s feelings.,Your travel plans / daily plans are usually well thought out. ,Being able to develop a plan and stick to it is the most important part of every project. ,You believe that it is more rewarding to be liked by others than to be powerful.,Your work style is closer to random energy spikes than to a methodical and organized approach.,DB,Happiness,Enjoyment,I’m good at the work I do. ,Financially Comfortable,Contribution,Balanced,Daily Stressor,Long term Stressor
,0.826252333,,Working for a company,Evening,Mono-tasking,3,3,Achieving personal success,4,4,4,3,4,4,5,4,3,2,4,3,2,2,3,2,5,3,3,2,Depth,4,4,4,5,3,"Yes, but I’m trying to be more focused on one aspect of my life","Work/School (e.g., assignments)","Relationships (e.g., family strife, break-up)"
,0.415400433,Reflect on and learn from my actions and feelings,Working for a company,Evening,Multi-tasking,3,4,Enjoying life,2,3,3,3,3,,4,3,4,2,2,3,3,3,3,3,2,2,2,4,Depth,1,2,2,5,2,"No, but I’m trying to be more balanced","Health & well-being (e.g., exercising, eating healthy)","Health & well-being (e.g., disease)"
,0.187491508,Reflect on and learn from my actions and feelings,Studying,Evening,Multi-tasking,2,3,Experiencing excitement and novelty,4,2,5,3,2,3,3,5,5,5,3,3,3,4,1,1,2,2,2,4,Breadth,4,4,3,3,1,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Logistical (e.g., financial instability, moving to a new city)"
,0.706734781,Stay mindful of what is happening at each moment,Caring for family and friends,Morning,Multi-tasking,3,4,"Looking out for my family, friends, and community",3,4,2,5,2,4,5,5,5,5,1,5,2,2,4,1,4,4,5,5,Depth,4,5,3,2,3,"No, but I’m trying to be more balanced","Health & well-being (e.g., exercising, eating healthy)","Health & well-being (e.g., disease)"
,0.647880103,Compare my experience and learn from others,Exploring and enjoying life,Evening,Mono-tasking,4,5,Achieving personal success,1,5,4,5,5,2,1,3,2,1,2,5,5,2,1,2,1,2,4,2,Depth,5,5,4,1,1,"Yes, but I’m trying to be more focused on one aspect of my life","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.338798872,Reflect on and learn from my actions and feelings,Studying,Evening,Multi-tasking,4,5,"Achieving stability of society, of relationships, and of self",3,4,4,3,3,4,2,2,5,4,3,4,3,4,2,4,1,3,4,5,Breadth,4,4,3,4,2,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Relationships (e.g., family strife, break-up)"
,0.804645365,Motivate myself,Exploring and enjoying life,Morning,Multi-tasking,4,4,"Looking out for my family, friends, and community",4,2,5,5,4,4,4,3,4,4,2,4,4,3,2,2,4,1,4,4,Depth,4,2,4,1,4,"No, but I’m trying to be more balanced","Health & well-being (e.g., exercising, eating healthy)","Relationships (e.g., family strife, break-up)"
,0.071664319,Reflect on and learn from my actions and feelings,Exploring and enjoying life,Evening,Mono-tasking,4,4,Enjoying life,1,3,3,4,3,2,2,1,4,4,4,3,2,2,2,1,2,3,5,5,Depth,4,4,3,4,3,"Yes, but I’m trying to be more focused on one aspect of my life","Relationships (e.g., going to a date)","Work/School (e.g., uncertainty of career path)"
,0.223216796,Reflect on and learn from my actions and feelings,Working for a company,Evening,Multi-tasking,4,3,Having autonomy in my life,5,4,4,4,3,2,4,3,5,3,3,2,3,4,2,2,5,4,4,4,Depth,4,4,4,5,4,"No, but I’m happy with that","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.869582165,Reflect on and learn from my actions and feelings,Working for a company,Evening,Mono-tasking,3,4,Having autonomy in my life,3,4,3,3,4,2,2,3,4,2,3,4,3,2,2,1,3,3,2,4,Depth,3,4,3,3,2,"Yes, but I’m trying to be more focused on one aspect of my life","Work/School (e.g., assignments)","Relationships (e.g., family strife, break-up)"
,0.011015263,Reflect on and learn from my actions and feelings,Other,Evening,Mono-tasking,2,3,Achieving personal success,3,4,4,2,3,5,2,4,5,5,2,4,2,2,3,1,4,4,3,4,Breadth,4,5,4,1,3,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.732678674,Reflect on and learn from my actions and feelings,Working for a company,Evening,Multi-tasking,4,5,"Achieving stability of society, of relationships, and of self",3,3,4,4,2,4,4,4,5,5,4,5,2,4,3,1,4,2,5,5,Breadth,2,1,5,3,5,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.584525623,Compare my experience and learn from others,Exploring and enjoying life,Morning,Mono-tasking,1,5,Having autonomy in my life,3,4,4,4,4,4,4,2,3,5,1,5,2,4,4,2,3,3,3,4,Depth,4,5,3,3,2,"Yes, but I’m trying to be more focused on one aspect of my life","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.778234836,Reflect on and learn from my actions and feelings,Working for a company,Morning,Mono-tasking,2,3,Experiencing excitement and novelty,4,3,5,4,1,4,2,4,4,4,5,2,3,4,1,2,1,3,2,5,Breadth,4,4,4,4,5,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.293915794,Stay mindful of what is happening at each moment,Studying,Evening,Multi-tasking,4,4,"Achieving stability of society, of relationships, and of self",4,4,4,4,3,3,4,5,4,4,5,4,4,4,2,2,4,3,4,4,Depth,5,5,4,4,4,"Yes, but I’m trying to be more focused on one aspect of my life","Work/School (e.g., assignments)","Relationships (e.g., family strife, break-up)"
,0.189197396,Stay mindful of what is happening at each moment,Exploring and enjoying life,Evening,Multi-tasking,4,5,"Achieving stability of society, of relationships, and of self",1,2,4,4,3,4,4,2,5,5,2,5,2,4,2,1,2,4,4,5,Breadth,4,2,4,5,2,"No, but I’m trying to be more balanced","Health & well-being (e.g., exercising, eating healthy)","Work/School (e.g., uncertainty of career path)"
,0.259708071,Stay mindful of what is happening at each moment,Exploring and enjoying life,Evening,Multi-tasking,3,4,"Looking out for my family, friends, and community",4,3,4,4,2,3,1,4,3,3,3,5,3,4,1,2,4,2,4,5,Breadth,5,4,4,4,4,"Yes, I’m happy with that","Health & well-being (e.g., exercising, eating healthy)","Relationships (e.g., family strife, break-up)"
,0.042071135,Stay mindful of what is happening at each moment,Studying,Evening,Mono-tasking,3,3,"Achieving stability of society, of relationships, and of self",2,3,4,5,4,4,3,3,3,4,3,3,4,4,3,3,4,3,2,2,Depth,4,4,4,3,3,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.67377881,Reflect on and learn from my actions and feelings,Working for a company,Morning,Mono-tasking,1,1,Achieving personal success,3,5,4,2,4,1,2,3,2,2,3,2,4,5,2,3,4,4,4,1,Depth,4,4,5,4,2,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.576683552,Compare my experience and learn from others,Exploring and enjoying life,Morning,Mono-tasking,2,2,Adhering to my culture or religion,4,5,4,1,1,2,4,3,3,1,5,2,2,4,3,1,1,1,3,1,Breadth,4,4,3,5,3,"Yes, I’m happy with that","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.209249942,Reflect on and learn from my actions and feelings,Working for a company,Evening,Multi-tasking,2,4,"Achieving stability of society, of relationships, and of self",3,4,4,2,2,2,2,4,3,3,5,4,4,2,4,2,5,5,4,5,Depth,3,3,3,3,2,"No, but I’m trying to be more balanced","Health & well-being (e.g., exercising, eating healthy)","Logistical (e.g., financial instability, moving to a new city)"
,0.523011953,Motivate myself,Other,Morning,Mono-tasking,4,4,Enjoying life,3,2,3,2,4,4,,5,5,2,4,5,3,5,4,4,5,5,5,5,Depth,4,3,3,5,2,"No, but I’m happy with that","Health & well-being (e.g., exercising, eating healthy)","Relationships (e.g., family strife, break-up)"
,0.661684165,Reflect on and learn from my actions and feelings,Exploring and enjoying life,Evening,Multi-tasking,3,3,Achieving personal success,2,4,4,5,5,2,3,3,2,2,4,5,4,2,2,4,5,4,4,3,Breadth,4,4,4,4,3,"No, but I’m trying to be more balanced","Health & well-being (e.g., exercising, eating healthy)","Logistical (e.g., financial instability, moving to a new city)"
,0.053546897,Reflect on and learn from my actions and feelings,Exploring and enjoying life,Evening,Mono-tasking,2,5,"Looking out for my family, friends, and community",4,3,4,2,2,2,4,4,3,5,2,4,2,4,2,1,1,2,4,4,Depth,4,3,4,4,2,"No, but I’m trying to be more balanced","Logistical (e.g., paying bills, errands,  house work)","Work/School (e.g., uncertainty of career path)"
,0.101460619,Reflect on and learn from my actions and feelings,Studying,Evening,Multi-tasking,4,4,"Achieving stability of society, of relationships, and of self",5,4,4,1,1,5,2,4,3,1,2,2,3,4,2,2,3,2,4,5,Depth,4,4,4,5,4,"Yes, I’m happy with that","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.297275166,Reflect on and learn from my actions and feelings,Caring for family and friends,Morning,Multi-tasking,2,5,"Achieving stability of society, of relationships, and of self",4,4,5,2,3,4,2,5,4,4,3,4,4,4,2,1,5,4,4,4,Depth,4,4,4,5,3,"Yes, but I’m trying to be more focused on one aspect of my life","Work/School (e.g., assignments)","Relationships (e.g., family strife, break-up)"
,0.890251526,Stay mindful of what is happening at each moment,Working for my own venture,Morning,Mono-tasking,4,3,Enjoying life,3,2,4,3,3,3,4,3,2,3,1,4,1,3,2,2,3,2,3,3,Depth,4,4,3,4,2,"No, but I’m trying to be more balanced","Logistical (e.g., paying bills, errands,  house work)","Relationships (e.g., family strife, break-up)"
,0.08750355,Stay mindful of what is happening at each moment,Studying,Evening,Mono-tasking,3,4,Enjoying life,3,2,3,4,3,4,4,2,5,5,2,2,4,4,3,2,4,2,5,5,Depth,2,3,2,4,2,"No, but I’m trying to be more balanced","Health & well-being (e.g., exercising, eating healthy)","Work/School (e.g., uncertainty of career path)"
,0.306266188,Reflect on and learn from my actions and feelings,Studying,Evening,Mono-tasking,2,2,"Looking out for my family, friends, and community",3,3,3,3,2,4,4,2,4,5,4,5,,4,2,1,3,3,5,2,Breadth,5,4,4,3,2,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Logistical (e.g., financial instability, moving to a new city)"
,0.073240748,Reflect on and learn from my actions and feelings,Studying,Morning,Mono-tasking,2,4,Understanding and advancing the welfare of all people,2,1,5,3,2,5,,3,5,5,4,3,4,4,2,2,2,2,3,2,Breadth,3,3,4,5,3,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.213992908,Reflect on and learn from my actions and feelings,Working for a company,Evening,Mono-tasking,4,3,"Achieving stability of society, of relationships, and of self",2,4,3,5,4,2,2,3,4,2,3,2,4,3,4,2,5,1,3,2,Breadth,4,4,4,2,2,"Yes, I’m happy with that","Work/School (e.g., assignments)","Logistical (e.g., financial instability, moving to a new city)"
,0.108524758,Stay mindful of what is happening at each moment,Working for a company,Morning,Multi-tasking,3,4,Understanding and advancing the welfare of all people,2,4,2,4,4,2,2,3,2,3,3,2,4,2,4,2,3,4,4,4,Depth,4,3,4,3,3,"Yes, but I’m trying to be more focused on one aspect of my life","Relationships (e.g., going to a date)","Work/School (e.g., uncertainty of career path)"
,0.72194585,Reflect on and learn from my actions and feelings,Exploring and enjoying life,Evening,Multi-tasking,3,4,Understanding and advancing the welfare of all people,4,1,5,2,3,5,1,4,5,5,3,4,5,4,2,2,2,1,2,5,Breadth,5,5,5,5,5,"No, but I’m happy with that","Work/School (e.g., assignments)","Relationships (e.g., family strife, break-up)"
,0.745843595,Stay mindful of what is happening at each moment,Working for a company,Evening,Multi-tasking,2,3,Experiencing excitement and novelty,4,3,4,2,1,3,3,3,3,4,2,3,3,2,2,1,3,4,2,1,Depth,3,3,4,2,1,"No, but I’m trying to be more balanced","Health & well-being (e.g., exercising, eating healthy)","Health & well-being (e.g., disease)"
,0.262010691,Reflect on and learn from my actions and feelings,Caring for family and friends,Evening,Mono-tasking,3,3,Understanding and advancing the welfare of all people,5,2,5,3,2,5,1,4,5,5,3,4,4,3,3,2,3,3,4,4,Breadth,4,4,4,5,4,"No, but I’m trying to be more balanced","Work/School (e.g., assignments)","Work/School (e.g., uncertainty of career path)"
,0.715462775,Reflect on and learn from my actions and feelings,Studying,Morning,Multi-tasking,1,2,Enjoying life,3,2,3,2,1,3,5,3,5,5,4,5,2,3,3,1,4,3,4,2,Depth,5,5,5,2,5,"No, but I’m trying to be more balanced","Logistical (e.g., paying bills, errands,  house work)","Logistical (e.g., financial instability, moving to a new city)"
,0.659322549,Reflect on and learn from my actions and feelings,Working for a company,Evening,Mono-tasking,3,3,Enjoying life,5,4,4,3,1,2,4,5,2,3,5,2,2,2,3,2,4,1,2,3,Breadth,4,4,4,3,3,"Yes, I’m happy with that","Work/School (e.g., assignments)","Relationships (e.g., family strife, break-up)"